Employee_ID,Gender,Department,Education,Experience_Years,Age,Salary,Performance_Score,Work_Mode,Satisfaction_Level
1094,Female,HR,Bachelor,8,37,138730,56,Remote,2
1095,Female,Operations,Master,17,40,73001,66,Onsite,4
1096,Female,IT,Bachelor,3,39,97364,93,Onsite,1
1097,Female,Marketing,Bachelor,20,22,75028,69,Hybrid,7
1098,Female,IT,Diploma,15,35,137434,85,Onsite,2
1099,Female,Operations,Diploma,15,23,127659,58,Hybrid,2
1100,Male,Marketing,Diploma,14,49,67573,87,Hybrid,9
1101,Male,Operations,Bachelor,14,51,30806,97,Hybrid,5
1102,Female,Finance,Master,2,59,86638,71,Hybrid,2
1103,Female,Marketing,PhD,13,25,136506,51,Remote,9
1104,Female,Finance,PhD,14,22,59757,73,Hybrid,9
1105,Female,IT,Diploma,19,29,64636,57,Onsite,1
1106,Female,IT,Diploma,7,50,110097,60,Remote,3
1107,Female,Marketing,Bachelor,3,24,78280,62,Onsite,4
1108,Female,Marketing,PhD,15,53,54262,66,Remote,7
1109,Female,Operations,Diploma,14,31,110435,57,Hybrid,10
1110,Male,Operations,Master,11,31,92211,70,Remote,4
1111,Female,Finance,Master,15,40,84842,67,Remote,2
1112,Male,Marketing,Diploma,13,55,86979,79,Onsite,7
1113,Female,IT,Diploma,18,54,144524,67,Onsite,6
1114,Female,Operations,PhD,6,44,111470,95,Hybrid,3
1115,Male,Operations,PhD,3,49,68197,96,Remote,6
1116,Female,IT,Bachelor,19,53,71844,80,Remote,6
1117,Male,Operations,PhD,15,28,94754,87,Remote,5
1118,Female,Finance,Master,5,50,131868,81,Hybrid,4
1119,Female,Marketing,Master,10,29,64157,60,Hybrid,10
1120,Male,IT,Diploma,7,22,107129,94,Hybrid,1
1121,Female,Marketing,PhD,17,24,70042,74,Hybrid,10
1122,Male,Operations,Bachelor,7,45,91665,82,Hybrid,6
1123,Female,Operations,Master,12,44,145512,87,Onsite,2
1124,Male,IT,Master,17,29,146953,90,Remote,3
1125,Male,Finance,Bachelor,13,58,112856,57,Remote,8
1126,Female,HR,Bachelor,20,24,57376,60,Remote,10
1127,Female,IT,Master,4,54,139049,71,Remote,6
1128,Male,HR,Master,10,49,85554,100,Remote,3
1129,Female,HR,Bachelor,3,29,44199,73,Remote,7
1130,Female,Finance,Master,9,55,148533,90,Remote,4
1131,Female,HR,Diploma,13,56,111412,66,Remote,9
1132,Male,HR,Diploma,18,53,80948,61,Onsite,5
1133,Male,Finance,Bachelor,15,45,103781,95,Remote,3
1134,Male,HR,PhD,4,35,102750,81,Onsite,2
1135,Male,HR,Bachelor,15,53,96262,64,Hybrid,2
1136,Male,HR,Bachelor,2,37,147424,65,Remote,3
1137,Male,IT,PhD,15,25,76600,71,Hybrid,2
1138,Male,IT,PhD,8,58,106898,77,Hybrid,4
1139,Male,IT,PhD,8,42,92483,69,Hybrid,2
1140,Male,Finance,Diploma,17,35,48297,82,Onsite,10
1141,Female,Operations,Master,12,52,60448,59,Hybrid,9
1142,Male,HR,Diploma,19,39,56172,89,Hybrid,2
1143,Female,HR,Master,10,28,72874,81,Hybrid,9
1144,Female,Finance,Diploma,9,31,37657,99,Remote,6
1145,Female,HR,Master,5,28,114386,82,Remote,1
1146,Male,IT,Diploma,6,54,55425,51,Onsite,4
1147,Male,Operations,PhD,20,44,56685,82,Onsite,1
1148,Male,Marketing,Bachelor,2,42,142855,82,Remote,6
1149,Male,HR,Diploma,13,40,54578,90,Onsite,4
1150,Female,IT,Master,6,40,58831,62,Remote,3
1151,Male,Marketing,PhD,5,57,37906,79,Hybrid,3
1152,Male,Operations,Diploma,1,50,91413,82,Hybrid,9
1153,Male,Marketing,Diploma,6,39,84028,62,Onsite,6
1154,Male,IT,PhD,6,23,37287,75,Remote,9
1155,Male,Marketing,Diploma,16,22,63660,71,Remote,5
1156,Female,Finance,Bachelor,4,26,105758,88,Onsite,2
1157,Male,Marketing,Diploma,11,41,90504,51,Remote,8
1158,Female,HR,Bachelor,9,32,89720,87,Hybrid,5
1159,Male,HR,Bachelor,3,23,132979,88,Onsite,2
1160,Female,Finance,PhD,19,24,64701,75,Onsite,4
1161,Male,IT,Diploma,8,44,113300,95,Remote,9
1162,Male,HR,PhD,5,33,140177,99,Onsite,4
1163,Female,Operations,Diploma,4,41,47674,64,Remote,4
1164,Female,HR,Diploma,6,26,113560,83,Remote,2
1165,Female,HR,Master,2,58,141543,91,Remote,6
1166,Male,IT,Diploma,20,59,53874,93,Remote,2
1167,Female,Marketing,PhD,11,51,73642,98,Remote,7
1168,Male,HR,Bachelor,4,30,127820,89,Onsite,3
1169,Male,Finance,Diploma,15,55,95160,60,Hybrid,3
1170,Female,Marketing,Master,6,56,47602,52,Hybrid,5
1171,Female,Operations,PhD,17,43,133320,55,Onsite,3
1172,Male,IT,Diploma,6,45,118801,58,Onsite,2
1173,Male,Operations,PhD,19,38,55931,55,Hybrid,10
1174,Female,Marketing,Master,2,31,124377,58,Hybrid,9
1175,Female,Marketing,Master,15,51,59192,88,Hybrid,2
1176,Female,Marketing,PhD,11,44,76542,80,Hybrid,2
1177,Male,Operations,Diploma,8,53,72520,81,Hybrid,8
1178,Male,Marketing,Bachelor,19,38,94772,90,Remote,9
1179,Male,Operations,Master,13,38,88762,99,Onsite,7
1180,Male,Marketing,Diploma,12,35,80106,61,Remote,3
1181,Male,Finance,Diploma,5,30,111121,57,Hybrid,9
1182,Male,Marketing,Bachelor,6,23,55559,57,Hybrid,3
1183,Female,Operations,Master,4,46,135595,99,Hybrid,5
1184,Male,HR,Master,19,30,63742,77,Remote,9
1185,Male,Marketing,Diploma,20,43,99669,69,Remote,3
1186,Male,HR,Diploma,1,25,110199,96,Hybrid,7
1187,Female,Finance,Bachelor,20,47,51754,56,Remote,1
1188,Male,IT,Bachelor,17,50,33972,60,Remote,4
1189,Male,Finance,Master,12,55,100831,69,Hybrid,4
1190,Female,Marketing,PhD,15,44,142217,65,Remote,7
1191,Male,HR,Master,1,58,71873,53,Onsite,8
1192,Male,HR,Diploma,14,32,124661,55,Onsite,1
1193,Male,Operations,Master,6,27,136532,71,Onsite,5
1194,Male,HR,PhD,5,39,39903,75,Onsite,7
1195,Male,Operations,Bachelor,11,42,33020,52,Hybrid,4
1196,Female,IT,PhD,4,57,71755,90,Hybrid,4
1197,Female,Marketing,PhD,13,59,115956,91,Hybrid,4
1198,Female,Operations,PhD,11,55,116988,63,Onsite,6
1199,Male,IT,Bachelor,3,38,75648,60,Onsite,7
1200,Male,HR,PhD,1,58,133537,67,Remote,2
1201,Male,HR,PhD,6,46,39516,61,Remote,5
1202,Female,IT,PhD,18,59,142863,72,Onsite,4
1203,Male,HR,Diploma,10,33,145005,61,Onsite,3
1204,Male,IT,PhD,5,44,32396,62,Onsite,7
1205,Female,Operations,Bachelor,10,43,114082,74,Onsite,6
1206,Male,Operations,PhD,12,42,49129,94,Remote,7
1207,Female,IT,PhD,2,48,31591,100,Onsite,5
1208,Female,Operations,Bachelor,13,52,41303,68,Remote,6
1209,Female,Operations,PhD,8,27,60561,95,Onsite,5
1210,Male,Operations,Bachelor,2,48,101719,85,Onsite,7
1211,Male,Finance,PhD,20,55,148618,94,Onsite,2
1212,Male,Marketing,Bachelor,1,33,122108,57,Remote,5
1213,Male,HR,PhD,5,28,129616,78,Remote,6
1214,Male,Finance,PhD,9,31,116231,81,Hybrid,6
1215,Male,Operations,Diploma,17,38,37314,100,Onsite,5
1216,Male,IT,Diploma,9,47,147071,93,Hybrid,10
1217,Female,Operations,PhD,11,42,49623,67,Hybrid,7
1218,Male,Marketing,PhD,15,49,97675,55,Remote,10
1219,Female,Operations,Master,6,23,142992,67,Remote,8
1220,Male,IT,Bachelor,3,22,126826,68,Hybrid,7
1221,Male,Marketing,Master,17,57,95082,71,Onsite,5
1222,Male,Operations,Diploma,5,47,113624,86,Remote,1
1223,Female,Marketing,Diploma,12,50,135228,81,Onsite,5
1224,Female,HR,Diploma,18,42,63130,90,Onsite,10
1225,Female,HR,Diploma,14,32,81756,52,Hybrid,2
1226,Female,Operations,PhD,11,32,127624,77,Hybrid,5
1227,Male,Marketing,Diploma,9,57,56292,59,Hybrid,5
1228,Female,IT,PhD,2,56,141785,100,Hybrid,2
1229,Male,Operations,PhD,12,55,116206,84,Remote,5
1230,Male,HR,Diploma,3,45,99274,78,Remote,4
1231,Female,HR,Diploma,3,43,32469,64,Hybrid,1
1232,Female,Operations,Bachelor,1,26,83947,82,Remote,3
1233,Female,Marketing,Master,8,54,52534,56,Hybrid,1
1234,Female,HR,Diploma,8,57,93620,61,Onsite,5
1235,Female,Marketing,Bachelor,11,41,78874,98,Onsite,4
1236,Female,HR,Bachelor,9,40,79708,79,Onsite,7
1237,Female,HR,Master,5,56,104553,70,Hybrid,5
1238,Female,Finance,PhD,14,38,98344,80,Onsite,10
1239,Male,HR,Diploma,3,55,79138,73,Remote,4
1240,Female,IT,Master,5,30,84302,69,Onsite,2
1241,Female,Operations,Diploma,5,47,77638,86,Onsite,4
1242,Male,Operations,Bachelor,19,23,108249,53,Onsite,2
1243,Female,Marketing,Bachelor,14,30,135865,77,Remote,8
1244,Male,HR,PhD,4,30,32719,93,Hybrid,3
1245,Male,IT,Bachelor,13,38,52890,69,Remote,9
1246,Female,Marketing,Bachelor,10,22,107236,73,Hybrid,4
1247,Male,Finance,Master,18,46,66509,99,Hybrid,6
1248,Male,Marketing,Diploma,8,46,72534,98,Onsite,10
1249,Male,Marketing,Diploma,8,56,132302,100,Hybrid,5
1250,Male,HR,Master,7,24,122241,81,Remote,10
1251,Female,Finance,PhD,8,58,48787,90,Remote,1
1252,Male,Marketing,Diploma,14,51,78845,85,Hybrid,9
1253,Female,IT,Bachelor,19,59,87932,83,Onsite,1
1254,Male,IT,Diploma,6,55,122124,85,Onsite,8
1255,Male,Operations,Bachelor,1,33,121659,51,Remote,9
1256,Male,Finance,PhD,15,40,63062,64,Onsite,9
1257,Male,Finance,Master,1,58,105713,83,Hybrid,1
1258,Female,Operations,Diploma,17,38,117263,85,Hybrid,2
1259,Female,Marketing,Master,1,31,125756,55,Remote,1
1260,Male,Finance,Diploma,15,33,90461,88,Hybrid,10
1261,Male,IT,Bachelor,2,37,105418,91,Remote,2
1262,Female,IT,Master,14,45,96672,100,Hybrid,10
1263,Male,HR,Diploma,8,40,64832,100,Remote,8
1264,Male,Finance,Bachelor,8,29,61966,61,Onsite,5
1265,Male,Marketing,Master,19,52,102545,52,Hybrid,7
1266,Female,Operations,Master,7,42,42987,94,Hybrid,2
1267,Female,Operations,Diploma,19,38,67311,67,Remote,8
1268,Female,Marketing,Diploma,6,44,61575,89,Remote,6
1269,Male,HR,Diploma,6,58,93852,70,Hybrid,8
1270,Male,Operations,Bachelor,3,37,31007,64,Remote,1
1271,Female,Finance,Diploma,7,27,100981,82,Hybrid,1
1272,Female,HR,Master,19,29,106242,84,Onsite,7
1273,Female,Finance,Master,8,46,77517,75,Remote,8
1274,Female,IT,Diploma,10,39,140022,57,Hybrid,3
1275,Male,HR,Diploma,20,46,59257,85,Onsite,5
1276,Female,Operations,PhD,15,33,117272,97,Onsite,1
1277,Male,HR,Master,15,36,72207,79,Hybrid,7
1278,Female,HR,Bachelor,1,47,43281,72,Remote,5
1279,Male,HR,PhD,20,47,91246,91,Hybrid,8
1280,Female,HR,Diploma,7,53,31435,93,Onsite,8
1281,Female,Finance,Diploma,4,31,128875,63,Hybrid,9
1282,Female,IT,Master,6,37,130686,63,Remote,7
1283,Female,Marketing,Diploma,1,28,121357,51,Onsite,1
1284,Male,HR,Bachelor,5,38,56660,86,Hybrid,3
1285,Female,Operations,Master,1,44,35084,54,Remote,8
1286,Male,HR,Diploma,4,47,112197,87,Onsite,3
1287,Male,Operations,Master,2,42,43507,94,Remote,8
1288,Male,Finance,Diploma,10,43,102595,90,Onsite,1
1289,Male,Operations,Diploma,5,28,113807,96,Hybrid,5
1290,Female,Marketing,Diploma,10,35,75539,63,Remote,4
1291,Male,IT,Bachelor,1,36,145953,88,Onsite,5
1292,Male,Operations,Bachelor,6,28,37491,74,Remote,8
1293,Male,Operations,Master,13,30,142831,69,Remote,10
1294,Female,IT,Diploma,15,29,80192,51,Hybrid,4
1295,Female,Marketing,Diploma,4,44,110395,88,Remote,4
1296,Female,HR,Bachelor,13,50,93888,55,Onsite,3
1297,Female,Operations,Diploma,20,39,103609,66,Onsite,7
1298,Male,IT,Bachelor,15,52,39077,74,Onsite,3
1299,Male,Finance,Diploma,8,51,147440,77,Onsite,3
1300,Female,IT,Master,5,56,50953,51,Hybrid,10
